,ratio,index,dataset,time [hrs],rmse,r2
1044,0.3,12.0,Grid1296,0.06688593102826013,222.24771681349094,-3.855520383390153
1045,0.3,12.0,Grid2401,0.24452143867810566,382.38141995044225,-12.742846844277533
1046,0.3,12.0,Sobol1,1.1479789626598358,21.638742020639683,0.9478981903020652
1047,0.3,12.0,Sobol2,1.2892465574211545,23.24690000873832,0.9383415467555557
1048,0.3,13.0,Grid1296,0.07904645456208123,230.3311532746965,-4.217699476439595
1049,0.3,13.0,Grid2401,0.21965036624007755,372.4240017280457,-12.029297978372023
1050,0.3,13.0,Sobol1,1.0006746657689412,21.36807745791167,0.9490990299032296
1051,0.3,13.0,Sobol2,0.9501256663269467,174.5972730920341,-2.4063219421241344
1052,0.3,14.0,Grid1296,0.03261634866396586,206.32682514473825,-3.1918050336432113
1053,0.3,14.0,Grid2401,0.3212155047390196,420.87615551986596,-15.634851912000755
1054,0.3,14.0,Sobol1,0.21327396200762855,21.79949924489884,0.9468686676511909
1055,0.3,14.0,Sobol2,0.35934352974096934,27.91853007929738,0.9106730811779571
1056,0.3,15.0,Grid1296,0.08724800070126851,215.69009281029258,-3.5757100804454494
1057,0.3,15.0,Grid2401,0.4625743230846193,418.7129361783039,-15.476170140950341
1058,0.3,15.0,Sobol1,1.4579950247208278,26.626175412764066,0.9208988958553467
1059,0.3,15.0,Sobol2,1.4085877288712396,20.15871933986441,0.9538093338641656
1060,0.3,16.0,Grid1296,0.09349922610653771,214.9529214012102,-3.5594793993773273
1061,0.3,16.0,Grid2401,0.2505009667740928,441.84139303321524,-17.419450495549288
1062,0.3,16.0,Sobol1,1.7339061184724172,22.874964703791093,0.9416035582398279
1063,0.3,16.0,Sobol2,1.539989550113678,24.244198742845175,0.9320919112369823
1064,0.3,17.0,Grid1296,0.02772417942682902,217.13695797259518,-3.631371878328526
1065,0.3,17.0,Grid2401,0.1365822614563836,421.34793984953365,-15.758421903461276
1066,0.3,17.0,Sobol1,0.24995054867532518,22.616334885351666,0.9418062126533553
1067,0.3,17.0,Sobol2,0.32417992055416106,25.693765469064594,0.9254435355169358
1068,0.3,18.0,Grid1296,0.04758539365397559,234.69474102281086,-4.411854400239563
1069,0.3,18.0,Grid2401,0.2511108015643226,406.06184228465366,-14.500264874367096
1070,0.3,18.0,Sobol1,0.3538501682546404,20.836956253641688,0.9517392516694178
1071,0.3,18.0,Sobol2,0.5785622360308965,171.27949771779456,-2.331713648014396
1072,0.3,19.0,Grid1296,0.08708128412564596,199.79194970017303,-2.913350081327797
1073,0.3,19.0,Grid2401,0.3596180154217614,361.6119022033489,-11.276475739617283
1074,0.3,19.0,Sobol1,1.6530283672942057,22.524551452857597,0.9425487717529295
1075,0.3,19.0,Sobol2,1.2777736225393084,28.98582050706344,0.9042436805761623
1076,0.3,20.0,Grid1296,0.10931876248783536,210.00029986252883,-3.3128604243016833
1077,0.3,20.0,Grid2401,0.5687762705485025,414.9067388797191,-15.30779184989714
1078,0.3,20.0,Sobol1,1.1701085276736154,21.242242287105533,0.9487970002016033
1079,0.3,20.0,Sobol2,0.9781696658002006,25.02898889475462,0.929432492712847
1080,0.3,21.0,Grid1296,0.11064174135526021,215.8687064524322,-3.5819615838590657
1081,0.3,21.0,Grid2401,0.300100849337048,369.4687836027922,-11.901578417589526
1082,0.3,21.0,Sobol1,0.9609878507587645,22.28021540596766,0.9445733234013629
1083,0.3,21.0,Sobol2,1.0519034535355039,25.835637850641604,0.9244279122458526
1084,0.3,22.0,Grid1296,0.07440073629220327,213.04494733740174,-3.465347298712528
1085,0.3,22.0,Grid2401,0.331057463420762,427.41043081298733,-16.41080296553411
1086,0.3,22.0,Sobol1,0.7147567782137129,21.628878584247005,0.9480414998247723
