,ratio,rndint,dataset,degree,rmse,r2
29069,0.75,829.0,Grid2401,8.0,23931.394684096624,-57738.6577463241
29070,0.75,829.0,Sobol1,8.0,421.1700271314791,-18.019996785048907
29071,0.75,829.0,Sobol2,8.0,125.92510277083305,-0.6783989084921047
29072,0.75,829.0,Grid1296,9.0,423.7040667281687,-17.27805576135542
29073,0.75,829.0,Grid2401,9.0,4553.497951294402,-2089.395575910402
29074,0.75,829.0,Sobol1,9.0,164.7008848891082,-1.9086227104005284
29075,0.75,829.0,Sobol2,9.0,92.8640312929094,0.08722102909536644
29076,0.75,829.0,Grid1296,10.0,398.2350225162149,-15.14669475873199
29077,0.75,829.0,Grid2401,10.0,5381.272300585139,-2918.4976074943584
29078,0.75,829.0,Sobol1,10.0,161.68753105500528,-1.8031645010979287
29079,0.75,829.0,Sobol2,10.0,88.62714494667685,0.16861137422174777
29080,0.75,996.0,Grid1296,1.0,75.38496450736982,0.42266012922842044
29081,0.75,996.0,Grid2401,1.0,95.33960694194064,0.08677608527902769
29082,0.75,996.0,Sobol1,1.0,71.52942484967636,0.4652450640425614
29083,0.75,996.0,Sobol2,1.0,73.01065425054244,0.4362850866983472
29084,0.75,996.0,Grid1296,2.0,45.744328186960885,0.787413055976158
29085,0.75,996.0,Grid2401,2.0,83.31106603582933,0.3026738607971815
29086,0.75,996.0,Sobol1,2.0,39.03496405130807,0.8407450634376641
29087,0.75,996.0,Sobol2,2.0,38.84735356954851,0.8404084397190705
29088,0.75,996.0,Grid1296,3.0,25.57558980481659,0.9335471828190814
29089,0.75,996.0,Grid2401,3.0,53.15602741815722,0.71611947797553
29090,0.75,996.0,Sobol1,3.0,25.631084262048432,0.9313375504920072
29091,0.75,996.0,Sobol2,3.0,24.44359846810485,0.936814514614813
29092,0.75,996.0,Grid1296,4.0,44.50964175022694,0.7987340633337547
29093,0.75,996.0,Grid2401,4.0,55.66250403890124,0.6887165429868085
29094,0.75,996.0,Sobol1,4.0,23.64559595947299,0.9415632755219357
29095,0.75,996.0,Sobol2,4.0,24.210393679393203,0.9380144089110252
29096,0.75,996.0,Grid1296,5.0,60.38905772840099,0.6295082107375513
