,ratio,rndint,dataset,degree,prediction,target,diff
230,0.05,951.0,Sobol1,8,716.2967515826895,707.0,-9.296751582689467
231,0.05,951.0,Sobol2,8,721.3515625,707.0,-14.3515625
232,0.05,951.0,Grid1296,9,-676451.2206449509,707.0,677158.2206449509
233,0.05,951.0,Grid2401,9,961306.71875,707.0,-960599.71875
234,0.05,951.0,Sobol1,9,718.4298491477966,707.0,-11.42984914779663
235,0.05,951.0,Sobol2,9,711.1318240500987,707.0,-4.131824050098658
236,0.05,951.0,Grid1296,10,-22564260.081965446,707.0,22564967.081965446
237,0.05,951.0,Grid2401,10,-802030.7122584581,707.0,802737.7122584581
238,0.05,951.0,Sobol1,10,717.8140404745936,707.0,-10.81404047459364
239,0.05,951.0,Sobol2,10,703.837892472744,707.0,3.162107527256012
240,0.05,490.0,Grid1296,1,739.2904388343045,707.0,-32.290438834304496
241,0.05,490.0,Grid2401,1,779.0720066214179,707.0,-72.07200662141793
242,0.05,490.0,Sobol1,1,680.0457754299364,707.0,26.954224570063616
243,0.05,490.0,Sobol2,1,664.1177530274367,707.0,42.88224697256328
244,0.05,490.0,Grid1296,2,750.1823632005215,707.0,-43.182363200521536
245,0.05,490.0,Grid2401,2,777.0662303076507,707.0,-70.0662303076507
246,0.05,490.0,Sobol1,2,709.4890867149717,707.0,-2.489086714971677
247,0.05,490.0,Sobol2,2,702.0645448776874,707.0,4.935455122312646
248,0.05,490.0,Grid1296,3,728.875,707.0,-21.875
249,0.05,490.0,Grid2401,3,745.9717905610833,707.0,-38.97179056108325
250,0.05,490.0,Sobol1,3,734.4096193149567,707.0,-27.40961931495667
251,0.05,490.0,Sobol2,3,733.936377953152,707.0,-26.936377953152032
252,0.05,490.0,Grid1296,4,709.625,707.0,-2.625
253,0.05,490.0,Grid2401,4,717.2587318238548,707.0,-10.25873182385476
254,0.05,490.0,Sobol1,4,729.2518148905388,707.0,-22.251814890538753
255,0.05,490.0,Sobol2,4,722.2768643886111,707.0,-15.276864388611102
256,0.05,490.0,Grid1296,5,697.1896947814886,707.0,9.810305218511417
