,ratio,rndint,dataset,degree,rmse,r2,prediction,target,diff
15291,0.4,633.0,Sobol2,3.0,23.46072063199317,0.9404155632766534,742.25,707.0,-35.25
15292,0.4,633.0,Grid1296,4.0,48.28286930265518,0.7685553896169797,705.890625,707.0,1.109375
15293,0.4,633.0,Grid2401,4.0,41.63132371243526,0.8340291730236133,720.25,707.0,-13.25
15294,0.4,633.0,Sobol1,4.0,23.235444438812333,0.9395456797347108,726.6466904634877,707.0,-19.646690463487744
15295,0.4,633.0,Sobol2,4.0,21.833847371232867,0.9483927541777089,728.6709100448819,707.0,-21.670910044881907
15296,0.4,633.0,Grid1296,5.0,70.55770279910519,0.5057464522966248,690.84375,707.0,16.15625
15297,0.4,633.0,Grid2401,5.0,87.72222946026675,0.26309646566321,715.4375,707.0,-8.4375
15298,0.4,633.0,Sobol1,5.0,19.315846941308525,0.9582214959397208,715.7981755476926,707.0,-8.798175547692608
15299,0.4,633.0,Sobol2,5.0,17.407004914079,0.9671981569729932,725.8821356919822,707.0,-18.88213569198217
15300,0.4,633.0,Grid1296,6.0,1061101671.2405896,-111782785367990.84,-64676411.78125,707.0,64677118.78125
15301,0.4,633.0,Grid2401,6.0,152.56076802687173,-1.2288305443515577,739.4453125,707.0,-32.4453125
15302,0.4,633.0,Sobol1,6.0,20.07524623715469,0.9548718909241586,719.872345085344,707.0,-12.872345085344024
15303,0.4,633.0,Sobol2,6.0,18.480852028340905,0.963026197110114,728.7942668023385,707.0,-21.794266802338484
15304,0.4,633.0,Grid1296,7.0,903233540.479905,-80995528276245.25,-55464528.9375,707.0,55465235.9375
15305,0.4,633.0,Grid2401,7.0,59069631.52311786,-334133362732.5576,5186950.390625,707.0,-5186243.390625
15306,0.4,633.0,Sobol1,7.0,21.5087822580964,0.9481967483774646,718.9077127786995,707.0,-11.907712778699532
15307,0.4,633.0,Sobol2,7.0,22.3787913023924,0.9457845090937936,718.4555959258502,707.0,-11.455595925850162
15308,0.4,633.0,Grid1296,8.0,518816287.8719761,-26723179811908.664,-27179843.1171875,707.0,27180550.1171875
15309,0.4,633.0,Grid2401,8.0,23490421.778956093,-52841233561.69744,1788332.09375,707.0,-1787625.09375
15310,0.4,633.0,Sobol1,8.0,25.889452120974568,0.9249464749967168,714.7552156568272,707.0,-7.755215656827204
15311,0.4,633.0,Sobol2,8.0,33.508517653300814,0.8784484296140267,705.7637052884093,707.0,1.2362947115907446
15312,0.4,633.0,Grid1296,9.0,327723171.45724946,-10662897338800.72,15267240.887195587,707.0,-15266533.887195587
15313,0.4,633.0,Grid2401,9.0,315312724.335286,-9520819064564.816,24031658.5625,707.0,-24030951.5625
15314,0.4,633.0,Sobol1,9.0,34.100409182445304,0.8697899351690461,719.3290477618575,707.0,-12.32904776185751
15315,0.4,633.0,Sobol2,9.0,48.70523741836482,0.7431961848083706,712.2746704816818,707.0,-5.274670481681824
15316,0.4,633.0,Grid1296,10.0,324629442.8642522,-10462530637512.334,-10050922.619873049,707.0,10051629.619873049
15317,0.4,633.0,Grid2401,10.0,334032605.7816892,-10684865039856.889,-37100779.82017517,707.0,37101486.82017517
