,ratio,rndint,dataset,rmse,mape,r2,prediction,target,diff
581,0.15,35.0,Grid2401,99.4502957936056,0.115176741095801,0.0888593296651655,775.9753530898756,707.0,-68.97535308987563
582,0.15,35.0,Sobol1,71.22365986689329,0.0927482274144993,0.4287392785593946,676.9266352627112,707.0,30.073364737288784
583,0.15,35.0,Sobol2,72.7061110624718,0.0947865049709271,0.37582356059974,662.6831432147803,707.0,44.31685678521967
584,0.15,180.0,Grid1296,78.53899473421913,0.0952347385651643,0.4026647642243013,740.6257617589978,707.0,-33.62576175899778
585,0.15,180.0,Grid2401,99.57135822332616,0.1155085942878181,0.0849350082119235,777.2556357449155,707.0,-70.25563574491548
586,0.15,180.0,Sobol1,71.30446279049397,0.092942541542962,0.4183271607767124,678.1186526694854,707.0,28.881347330514586
587,0.15,180.0,Sobol2,71.99350811162692,0.0939212645911504,0.4037088864458908,665.3064772898688,707.0,41.69352271013122
588,0.15,510.0,Grid1296,78.6073929199214,0.0954875462890171,0.4029428995833343,739.5628118337859,707.0,-32.56281183378587
589,0.15,510.0,Grid2401,99.76792993775744,0.1156779497045039,0.0853582727425448,777.4068805376207,707.0,-70.40688053762074
590,0.15,510.0,Sobol1,71.65922942642644,0.0936377021808429,0.406108293175441,679.5818170748348,707.0,27.418182925165183
591,0.15,510.0,Sobol2,72.33076976507925,0.0940877029064781,0.392714032594717,663.86537443935,707.0,43.134625560649965
592,0.15,593.0,Grid1296,78.48846449908633,0.0954891510210041,0.4045312613848146,739.9055267693874,707.0,-32.90552676938739
593,0.15,593.0,Grid2401,99.82508293948726,0.1155763175837921,0.0858345218530314,778.0780534181645,707.0,-71.07805341816447
594,0.15,593.0,Sobol1,71.74537599063011,0.0934919494113982,0.4120049224515811,680.5311355187681,707.0,26.46886448123189
595,0.15,593.0,Sobol2,71.60316457831796,0.0933330681026063,0.407675528197008,666.9258911477373,707.0,40.074108852262725
596,0.15,634.0,Grid1296,77.37963992476631,0.0950107616313914,0.4176499593047914,736.8237947114699,707.0,-29.823794711469873
597,0.15,634.0,Grid2401,99.69938705749271,0.1155477859043656,0.0882015623626724,777.4153472356321,707.0,-70.41534723563211
