,ratio,rndint,dataset,prediction,target,diff
2111,0.55,996.0,Sobol2,654.1102577974042,707.0,52.88974220259581
2112,0.55,272.0,Grid1296,738.0607757211712,707.0,-31.06077572117124
2113,0.55,272.0,Grid2401,771.7923029381512,707.0,-64.79230293815124
2114,0.55,272.0,Sobol1,681.2877728971449,707.0,25.71222710285508
2115,0.55,272.0,Sobol2,660.9086560421817,707.0,46.09134395781825
2116,0.55,759.0,Grid1296,740.7750467859066,707.0,-33.775046785906625
2117,0.55,759.0,Grid2401,776.9079913140965,707.0,-69.90799131409653
2118,0.55,759.0,Sobol1,675.5135749630335,707.0,31.486425036966466
2119,0.55,759.0,Sobol2,657.2288223451233,707.0,49.77117765487674
2120,0.55,390.0,Grid1296,742.1225462867806,707.0,-35.12254628678056
2121,0.55,390.0,Grid2401,779.5611744358096,707.0,-72.56117443580956
2122,0.55,390.0,Sobol1,678.1042232396669,707.0,28.895776760333092
2123,0.55,390.0,Sobol2,667.7305333882392,707.0,39.26946661176078
2124,0.55,930.0,Grid1296,736.5505491073645,707.0,-29.55054910736453
2125,0.55,930.0,Grid2401,772.4552469693303,707.0,-65.45524696933035
2126,0.55,930.0,Sobol1,680.4594644801692,707.0,26.54053551983077
2127,0.55,930.0,Sobol2,670.7171012441142,707.0,36.28289875588575
2128,0.55,633.0,Grid1296,736.724523631148,707.0,-29.72452363114803
2129,0.55,633.0,Grid2401,779.429302099368,707.0,-72.42930209936799
2130,0.55,633.0,Sobol1,675.4532384868796,707.0,31.546761513120373
2131,0.55,633.0,Sobol2,669.9258186906861,707.0,37.07418130931387
2132,0.55,928.0,Grid1296,740.3079006059398,707.0,-33.307900605939835
2133,0.55,928.0,Grid2401,777.9038835313503,707.0,-70.90388353135029
2134,0.55,928.0,Sobol1,680.4949559607586,707.0,26.505044039241398
2135,0.55,928.0,Sobol2,667.0482588614889,707.0,39.951741138511125
2136,0.55,854.0,Grid1296,741.694438131663,707.0,-34.69443813166299
2137,0.55,854.0,Grid2401,778.1421605323042,707.0,-71.14216053230416
2138,0.55,854.0,Sobol1,672.5926999690603,707.0,34.40730003093972
2139,0.55,854.0,Sobol2,661.7100005545497,707.0,45.28999944545035
2140,0.55,554.0,Grid1296,733.3648606367649,707.0,-26.364860636764888
2141,0.55,554.0,Grid2401,776.7492004747088,707.0,-69.7492004747088
2142,0.55,554.0,Sobol1,674.5380277925844,707.0,32.461972207415556
2143,0.55,554.0,Sobol2,661.9377437752701,707.0,45.062256224729936
2144,0.55,562.0,Grid1296,731.6566462179227,707.0,-24.656646217922685
2145,0.55,562.0,Grid2401,777.7395721240655,707.0,-70.73957212406549
2146,0.55,562.0,Sobol1,678.2924865497654,707.0,28.707513450234615
2147,0.55,562.0,Sobol2,664.7812628532123,707.0,42.2187371467877
2148,0.55,78.0,Grid1296,739.1354907868603,707.0,-32.13549078686026
2149,0.55,78.0,Grid2401,780.9216130472306,707.0,-73.92161304723061
2150,0.55,78.0,Sobol1,679.4296068500569,707.0,27.57039314994313
2151,0.55,78.0,Sobol2,668.9568224102183,707.0,38.04317758978175
2152,0.55,222.0,Grid1296,732.6423093099817,707.0,-25.64230930998167
2153,0.55,222.0,Grid2401,775.1262002374312,707.0,-68.12620023743125
2154,0.55,222.0,Sobol1,681.6410046845126,707.0,25.35899531548739
2155,0.55,222.0,Sobol2,671.3080049205769,707.0,35.69199507942312
2156,0.55,294.0,Grid1296,741.7927155856908,707.0,-34.79271558569076
2157,0.55,294.0,Grid2401,773.8902082121446,707.0,-66.89020821214456
2158,0.55,294.0,Sobol1,680.031699955108,707.0,26.968300044891976
2159,0.55,294.0,Sobol2,666.9040336687359,707.0,40.095966331264094
2160,0.55,725.0,Grid1296,741.0586698336878,707.0,-34.05866983368776
2161,0.55,725.0,Grid2401,773.4316924925135,707.0,-66.43169249251355
2162,0.55,725.0,Sobol1,670.3650159078317,707.0,36.63498409216834
2163,0.55,725.0,Sobol2,673.7153755934702,707.0,33.284624406529815
2164,0.55,582.0,Grid1296,741.204193780877,707.0,-34.20419378087695
2165,0.55,582.0,Grid2401,776.8862931831409,707.0,-69.88629318314088
2166,0.55,582.0,Sobol1,674.1839509457211,707.0,32.81604905427889
2167,0.55,582.0,Sobol2,664.905731870002,707.0,42.094268129998
2168,0.55,731.0,Grid1296,740.3165613190572,707.0,-33.3165613190572
2169,0.55,731.0,Grid2401,775.3969019129604,707.0,-68.3969019129604
2170,0.55,731.0,Sobol1,679.7427702390639,707.0,27.25722976093607
2171,0.55,731.0,Sobol2,660.6542747873385,707.0,46.34572521266148
