,ratio,rndint,dataset,kernel,prediction,std dev.,target,diff
5990,0.4,936.0,Grid2401,RQ,748.6760804413884,0.6978402690429029,707.0,-41.67608044138842
5991,0.4,936.0,Grid2401,ESS,655.3627941348988,0.542133145367928,707.0,51.63720586510124
5992,0.4,936.0,Sobol1,RBF,726.2797157599939,0.060897121125609834,707.0,-19.279715759993906
5993,0.4,936.0,Sobol1,Matern,718.7979297558215,0.14202568346530922,707.0,-11.797929755821542
5994,0.4,936.0,Sobol1,RQ,711.5365088557353,0.37658968474124893,707.0,-4.536508855735292
5995,0.4,936.0,Sobol1,ESS,725.549787686421,0.055648826862991906,707.0,-18.54978768642104
5996,0.4,936.0,Sobol2,RBF,740.5001412438364,0.08513393868629074,707.0,-33.500141243836424
5997,0.4,936.0,Sobol2,Matern,728.7341787829921,0.19007194554677173,707.0,-21.734178782992103
5998,0.4,936.0,Sobol2,RQ,720.5677895440504,0.4686368285738644,707.0,-13.567789544050356
5999,0.4,936.0,Sobol2,ESS,742.4054393485042,0.09253444586516543,707.0,-35.40543934850416
6000,0.4,678.0,Grid1296,RBF,453.45568859501327,0.869301010622549,707.0,253.54431140498673
6001,0.4,678.0,Grid1296,Matern,715.2023419792899,0.4232407358490979,707.0,-8.20234197928994
6002,0.4,678.0,Grid1296,RQ,715.3497656149831,0.6723773077766656,707.0,-8.349765614983085
6003,0.4,678.0,Grid1296,ESS,0.0,1.0,707.0,707.0
6004,0.4,678.0,Grid2401,RBF,617.1668555602107,0.687530695645981,707.0,89.8331444397893
6005,0.4,678.0,Grid2401,Matern,714.5614954438197,0.4187095790162304,707.0,-7.561495443819695
6006,0.4,678.0,Grid2401,RQ,748.8743113361584,0.699316724220987,707.0,-41.87431133615837
6007,0.4,678.0,Grid2401,ESS,0.0,1.0,707.0,707.0
6008,0.4,678.0,Sobol1,RBF,713.4102521598584,0.04237099401339425,707.0,-6.4102521598583735
6009,0.4,678.0,Sobol1,Matern,717.3524327180205,0.1380189079410746,707.0,-10.35243271802051
6010,0.4,678.0,Sobol1,RQ,712.1825995131576,0.37267976662053337,707.0,-5.182599513157584
6011,0.4,678.0,Sobol1,ESS,0.0,1.0,707.0,707.0
6012,0.4,678.0,Sobol2,RBF,720.2596912736115,0.09432823493518631,707.0,-13.259691273611452
6013,0.4,678.0,Sobol2,Matern,718.6696538984236,0.19963374901068326,707.0,-11.669653898423576
