,ratio,rndint,dataset,#trees,rmse,mape,r2
6360,0.3,16.0,Grid1296,10.0,39.81817604326804,0.04305906749067395,0.8438822050654883
6361,0.3,16.0,Grid2401,10.0,80.98137942701179,0.08357093640879752,0.3841419310209947
6362,0.3,16.0,Sobol1,10.0,20.967381415231635,0.01834598350511772,0.9508474490044476
6363,0.3,16.0,Sobol2,10.0,19.13168546791901,0.016537442963479212,0.9580527281110779
6364,0.3,16.0,Grid1296,100.0,39.48772798926369,0.04278298621423131,0.846462672618651
6365,0.3,16.0,Grid2401,100.0,81.29544556330687,0.08395108283703931,0.3793557633464304
6366,0.3,16.0,Sobol1,100.0,20.588256133045633,0.017310473350857655,0.9526088991983285
6367,0.3,16.0,Sobol2,100.0,17.940704004826937,0.01545578589567123,0.9631127551491403
6368,0.3,16.0,Grid1296,250.0,39.16871378700065,0.042541837783032325,0.8489334521669665
6369,0.3,16.0,Grid2401,250.0,81.26493072650239,0.08391180950016515,0.3798216025590687
6370,0.3,16.0,Sobol1,250.0,20.557753207988082,0.017224244967465253,0.952749221558118
6371,0.3,16.0,Sobol2,250.0,17.90928097192796,0.015257817753389993,0.9632418575547033
6372,0.3,16.0,Grid1296,500.0,39.26308464118128,0.042610318040923266,0.8482046330709034
6373,0.3,16.0,Grid2401,500.0,81.32385309811775,0.08396914112269589,0.3789219369965827
6374,0.3,16.0,Sobol1,500.0,20.608531400205493,0.01727606055576952,0.9525155119436278
6375,0.3,16.0,Sobol2,500.0,17.85452781485644,0.015226279603749145,0.9634662716785067
6376,0.3,16.0,Grid1296,750.0,39.225179669228474,0.04257906844257822,0.8484975811054836
6377,0.3,16.0,Grid2401,750.0,81.31484862426016,0.08395970474330937,0.37905946544263713
6378,0.3,16.0,Sobol1,750.0,20.6121045181748,0.01729818125529084,0.9524990447453808
6379,0.3,16.0,Sobol2,750.0,17.80934391760307,0.015155453460841963,0.9636509472420935
6380,0.3,16.0,Grid1296,1000.0,39.21759875758032,0.04257506877738985,0.8485561361191756
6381,0.3,16.0,Grid2401,1000.0,81.28707474003329,0.08393059969441617,0.37948356966350016
6382,0.3,16.0,Sobol1,1000.0,20.555721549073017,0.01724420882205671,0.9527585603920585
6383,0.3,16.0,Sobol2,1000.0,17.812021880431587,0.01514455343951697,0.9636400149212708
6384,0.3,669.0,Grid1296,10.0,39.183309370207496,0.04250419674385079,0.8491512853952657
6385,0.3,669.0,Grid2401,10.0,80.97821346337942,0.08333688672220724,0.3835595332475108
6386,0.3,669.0,Sobol1,10.0,21.47802726973995,0.018700337395607457,0.9487239844231874
6387,0.3,669.0,Sobol2,10.0,19.737545234486625,0.01734562699713339,0.9557571410452737
6388,0.3,669.0,Grid1296,100.0,39.0015152568136,0.04231655967920916,0.8505477877435517
6389,0.3,669.0,Grid2401,100.0,80.44501823712665,0.08289203479160931,0.39165062355340163
6390,0.3,669.0,Sobol1,100.0,20.403979908881002,0.017365785761418107,0.953724058184302
6391,0.3,669.0,Sobol2,100.0,19.085829913901282,0.016509113729690685,0.9586306206934284
6392,0.3,669.0,Grid1296,250.0,39.02243339727496,0.04233022384477641,0.8503874298333451
6393,0.3,669.0,Grid2401,250.0,80.56893631149546,0.08299314389723698,0.3897749686752876
6394,0.3,669.0,Sobol1,250.0,20.521138294751637,0.017344053578906723,0.9531911053035986
6395,0.3,669.0,Sobol2,250.0,18.74102053727612,0.016191972910857423,0.9601118972730569
6396,0.3,669.0,Grid1296,500.0,38.96379440897398,0.04228679557327181,0.85083673743925
