,ratio,rndint,dataset,kernel,time [hrs],rmse,r2
9278,0.6,633.0,Sobol2,RQ,0.002766940991083781,26.458390397320784,0.9249745126133002
9279,0.6,633.0,Sobol2,ESS,0.00015089664194318982,675.4037575541378,-47.88874961734885
9280,0.6,725.0,Grid1296,RBF,0.00013522055413987903,161.51679667154528,-1.6361428259004582
9281,0.6,725.0,Grid1296,Matern,0.0001838144991132948,55.59090049777748,0.6877223019967788
9282,0.6,725.0,Grid1296,RQ,0.001983376012908088,54.01702501138197,0.7051542483380944
9283,0.6,725.0,Grid1296,ESS,0.00013437377081976996,679.2038466574286,-45.61587331221713
9284,0.6,725.0,Grid2401,RBF,0.000442859861585829,254.29380018930527,-5.341545489737695
9285,0.6,725.0,Grid2401,Matern,0.00045841905805799694,42.17938217605356,0.8255287002752294
9286,0.6,725.0,Grid2401,RQ,0.005818417270978292,82.43895308530189,0.3335178783428926
9287,0.6,725.0,Grid2401,ESS,0.00032975978321499297,676.7272654471963,-43.91081304485233
9288,0.6,725.0,Sobol1,RBF,0.0005541527271270752,26.89821085705856,0.9206052166187633
9289,0.6,725.0,Sobol1,Matern,0.0006456181075837877,20.868672602231303,0.9522102419202638
9290,0.6,725.0,Sobol1,RQ,0.005408957534366184,23.645865232851044,0.9386442031597252
9291,0.6,725.0,Sobol1,ESS,0.007806309130456712,680.3274890189057,-49.790351583365506
9292,0.6,725.0,Sobol2,RBF,0.00028177658716837563,34.944894074046914,0.8674443267968763
9293,0.6,725.0,Sobol2,Matern,0.0002161799536810981,23.256582536464485,0.9412885701340367
9294,0.6,725.0,Sobol2,RQ,0.004194811648792691,27.188563840391602,0.9197576944373179
9295,0.6,725.0,Sobol2,ESS,0.0008726354440053304,33.24868523540515,0.8800003951403803
9296,0.6,930.0,Grid1296,RBF,0.00012842939959632025,194.1094811764954,-2.7867533217676246
9297,0.6,930.0,Grid1296,Matern,0.00014320386780632867,55.65536088056626,0.6886939766576741
9298,0.6,930.0,Grid1296,RQ,0.0008748061789406671,54.806371771059084,0.6981191096692214
9299,0.6,930.0,Grid1296,ESS,0.0001267039113574558,603.9876005425647,-35.663132077112756
9300,0.6,930.0,Grid2401,RBF,0.00039407915539211696,137.1880320062249,-0.8422616702290548
9301,0.6,930.0,Grid2401,Matern,0.00039836890167660184,50.571566518223605,0.7496591759430161
9302,0.6,930.0,Grid2401,RQ,0.002364996141857571,82.46193521318953,0.3343806949975052
9303,0.6,930.0,Grid2401,ESS,0.00024056918091244168,584.7097264783785,-32.46566818572744
9304,0.6,930.0,Sobol1,RBF,0.0004608094692230225,27.868621342020287,0.9170088191559409
